input,label,set
test/test_x/017_image.png,test/test_y/017_masks.zip,testing
test/test_x/018_image.png,test/test_y/018_masks.zip,testing
test/test_x/019_image.png,test/test_y/019_masks.zip,testing
test/test_x/020_image.png,test/test_y/020_masks.zip,testing
test/test_x/021_image.png,test/test_y/021_masks.zip,testing
test/test_x/022_image.png,test/test_y/022_masks.zip,testing
test/test_x/023_image.png,test/test_y/023_masks.zip,testing
test/test_x/024_image.png,test/test_y/024_masks.zip,testing
test/test_x/025_image.png,test/test_y/025_masks.zip,testing
test/test_x/026_image.png,test/test_y/026_masks.zip,testing
test/test_x/027_image.png,test/test_y/027_masks.zip,testing
test/test_x/028_image.png,test/test_y/028_masks.zip,testing
test/test_x/029_image.png,test/test_y/029_masks.zip,testing
test/test_x/030_image.png,test/test_y/030_masks.zip,testing
test/test_x/031_image.png,test/test_y/031_masks.zip,testing
test/test_x/032_image.png,test/test_y/032_masks.zip,testing
test/test_x/033_image.png,test/test_y/033_masks.zip,testing
test/test_x/034_image.png,test/test_y/034_masks.zip,testing
test/test_x/035_image.png,test/test_y/035_masks.zip,testing
test/test_x/036_image.png,test/test_y/036_masks.zip,testing
test/test_x/037_image.png,test/test_y/037_masks.zip,testing
test/test_x/038_image.png,test/test_y/038_masks.zip,testing
test/test_x/039_image.png,test/test_y/039_masks.zip,testing
test/test_x/040_image.png,test/test_y/040_masks.zip,testing
test/test_x/041_image.png,test/test_y/041_masks.zip,testing
test/test_x/042_image.png,test/test_y/042_masks.zip,testing
test/test_x/043_image.png,test/test_y/043_masks.zip,testing
test/test_x/044_image.png,test/test_y/044_masks.zip,testing
test/test_x/045_image.png,test/test_y/045_masks.zip,testing
test/test_x/046_image.png,test/test_y/046_masks.zip,testing
test/test_x/047_image.png,test/test_y/047_masks.zip,testing
test/test_x/048_image.png,test/test_y/048_masks.zip,testing
test/test_x/049_image.png,test/test_y/049_masks.zip,testing
test/test_x/050_image.png,test/test_y/050_masks.zip,testing
test/test_x/051_image.png,test/test_y/051_masks.zip,testing
test/test_x/052_image.png,test/test_y/052_masks.zip,testing
test/test_x/053_image.png,test/test_y/053_masks.zip,testing
test/test_x/054_image.png,test/test_y/054_masks.zip,testing
test/test_x/055_image.png,test/test_y/055_masks.zip,testing
test/test_x/056_image.png,test/test_y/056_masks.zip,testing
test/test_x/057_image.png,test/test_y/057_masks.zip,testing
test/test_x/058_image.png,test/test_y/058_masks.zip,testing
test/test_x/059_image.png,test/test_y/059_masks.zip,testing
test/test_x/060_image.png,test/test_y/060_masks.zip,testing
test/test_x/061_image.png,test/test_y/061_masks.zip,testing
test/test_x/062_image.png,test/test_y/062_masks.zip,testing
test/test_x/063_image.png,test/test_y/063_masks.zip,testing
test/test_x/064_image.png,test/test_y/064_masks.zip,testing
test/test_x/065_image.png,test/test_y/065_masks.zip,testing
test/test_x/066_image.png,test/test_y/066_masks.zip,testing
test/test_x/067_image.png,test/test_y/067_masks.zip,testing
test/test_x/068_image.png,test/test_y/068_masks.zip,testing
test/test_x/069_image.png,test/test_y/069_masks.zip,testing
test/test_x/070_image.png,test/test_y/070_masks.zip,testing
test/test_x/071_image.png,test/test_y/071_masks.zip,testing
test/test_x/072_image.png,test/test_y/072_masks.zip,testing
test/test_x/073_image.png,test/test_y/073_masks.zip,testing
test/test_x/074_image.png,test/test_y/074_masks.zip,testing
test/test_x/075_image.png,test/test_y/075_masks.zip,testing
test/test_x/076_image.png,test/test_y/076_masks.zip,testing
test/test_x/077_image.png,test/test_y/077_masks.zip,testing
test/test_x/078_image.png,test/test_y/078_masks.zip,testing
test/test_x/079_image.png,test/test_y/079_masks.zip,testing
test/test_x/080_image.png,test/test_y/080_masks.zip,testing
test/test_x/081_image.png,test/test_y/081_masks.zip,testing
test/test_x/082_image.png,test/test_y/082_masks.zip,testing
test/test_x/083_image.png,test/test_y/083_masks.zip,testing
test/test_x/084_image.png,test/test_y/084_masks.zip,testing
test/test_x/085_image.png,test/test_y/085_masks.zip,testing
test/test_x/086_image.png,test/test_y/086_masks.zip,testing
test/test_x/087_image.png,test/test_y/087_masks.zip,testing
test/test_x/088_image.png,test/test_y/088_masks.zip,testing
test/test_x/089_image.png,test/test_y/089_masks.zip,testing
test/test_x/090_image.png,test/test_y/090_masks.zip,testing
test/test_x/091_image.png,test/test_y/091_masks.zip,testing
test/test_x/092_image.png,test/test_y/092_masks.zip,testing
test/test_x/093_image.png,test/test_y/093_masks.zip,testing
test/test_x/094_image.png,test/test_y/094_masks.zip,testing
test/test_x/095_image.png,test/test_y/095_masks.zip,testing
test/test_x/096_image.png,test/test_y/096_masks.zip,testing
test/test_x/097_image.png,test/test_y/097_masks.zip,testing
test/test_x/098_image.png,test/test_y/098_masks.zip,testing
test/test_x/099_image.png,test/test_y/099_masks.zip,testing
test/test_x/100_image.png,test/test_y/100_masks.zip,testing
test/test_x/101_image.png,test/test_y/101_masks.zip,testing
test/test_x/102_image.png,test/test_y/102_masks.zip,testing
test/test_x/103_image.png,test/test_y/103_masks.zip,testing
test/test_x/104_image.png,test/test_y/104_masks.zip,testing
test/test_x/105_image.png,test/test_y/105_masks.zip,testing
test/test_x/106_image.png,test/test_y/106_masks.zip,testing
test/test_x/107_image.png,test/test_y/107_masks.zip,testing
test/test_x/108_image.png,test/test_y/108_masks.zip,testing
test/test_x/109_image.png,test/test_y/109_masks.zip,testing
test/test_x/110_image.png,test/test_y/110_masks.zip,testing
test/test_x/111_image.png,test/test_y/111_masks.zip,testing
test/test_x/112_image.png,test/test_y/112_masks.zip,testing
test/test_x/113_image.png,test/test_y/113_masks.zip,testing
test/test_x/114_image.png,test/test_y/114_masks.zip,testing
test/test_x/115_image.png,test/test_y/115_masks.zip,testing
test/test_x/116_image.png,test/test_y/116_masks.zip,testing
test/test_x/117_image.png,test/test_y/117_masks.zip,testing
test/test_x/118_image.png,test/test_y/118_masks.zip,testing
test/test_x/119_image.png,test/test_y/119_masks.zip,testing
test/test_x/120_image.png,test/test_y/120_masks.zip,testing
test/test_x/121_image.png,test/test_y/121_masks.zip,testing
test/test_x/122_image.png,test/test_y/122_masks.zip,testing
test/test_x/123_image.png,test/test_y/123_masks.zip,testing
test/test_x/124_image.png,test/test_y/124_masks.zip,testing
test/test_x/125_image.png,test/test_y/125_masks.zip,testing
test/test_x/126_image.png,test/test_y/126_masks.zip,testing
test/test_x/127_image.png,test/test_y/127_masks.zip,testing
test/test_x/128_image.png,test/test_y/128_masks.zip,testing
test/test_x/129_image.png,test/test_y/129_masks.zip,testing
test/test_x/130_image.png,test/test_y/130_masks.zip,testing
test/test_x/131_image.png,test/test_y/131_masks.zip,testing
test/test_x/132_image.png,test/test_y/132_masks.zip,testing
test/test_x/133_image.png,test/test_y/133_masks.zip,testing
test/test_x/134_image.png,test/test_y/134_masks.zip,testing
test/test_x/135_image.png,test/test_y/135_masks.zip,testing
test/test_x/136_image.png,test/test_y/136_masks.zip,testing
test/test_x/137_image.png,test/test_y/137_masks.zip,testing
test/test_x/138_image.png,test/test_y/138_masks.zip,testing
test/test_x/139_image.png,test/test_y/139_masks.zip,testing
test/test_x/140_image.png,test/test_y/140_masks.zip,testing
test/test_x/141_image.png,test/test_y/141_masks.zip,testing
test/test_x/142_image.png,test/test_y/142_masks.zip,testing
test/test_x/143_image.png,test/test_y/143_masks.zip,testing
test/test_x/144_image.png,test/test_y/144_masks.zip,testing
test/test_x/145_image.png,test/test_y/145_masks.zip,testing
test/test_x/146_image.png,test/test_y/146_masks.zip,testing
test/test_x/147_image.png,test/test_y/147_masks.zip,testing
test/test_x/148_image.png,test/test_y/148_masks.zip,testing
test/test_x/149_image.png,test/test_y/149_masks.zip,testing
test/test_x/150_image.png,test/test_y/150_masks.zip,testing
test/test_x/151_image.png,test/test_y/151_masks.zip,testing
test/test_x/152_image.png,test/test_y/152_masks.zip,testing
test/test_x/153_image.png,test/test_y/153_masks.zip,testing
test/test_x/154_image.png,test/test_y/154_masks.zip,testing
test/test_x/155_image.png,test/test_y/155_masks.zip,testing
test/test_x/156_image.png,test/test_y/156_masks.zip,testing
test/test_x/157_image.png,test/test_y/157_masks.zip,testing
test/test_x/158_image.png,test/test_y/158_masks.zip,testing
test/test_x/159_image.png,test/test_y/159_masks.zip,testing
test/test_x/160_image.png,test/test_y/160_masks.zip,testing
test/test_x/161_image.png,test/test_y/161_masks.zip,testing
test/test_x/162_image.png,test/test_y/162_masks.zip,testing
test/test_x/163_image.png,test/test_y/163_masks.zip,testing
test/test_x/164_image.png,test/test_y/164_masks.zip,testing
test/test_x/165_image.png,test/test_y/165_masks.zip,testing
test/test_x/166_image.png,test/test_y/166_masks.zip,testing
test/test_x/167_image.png,test/test_y/167_masks.zip,testing
test/test_x/168_image.png,test/test_y/168_masks.zip,testing
test/test_x/169_image.png,test/test_y/169_masks.zip,testing
test/test_x/170_image.png,test/test_y/170_masks.zip,testing
test/test_x/171_image.png,test/test_y/171_masks.zip,testing
test/test_x/172_image.png,test/test_y/172_masks.zip,testing
test/test_x/173_image.png,test/test_y/173_masks.zip,testing
test/test_x/174_image.png,test/test_y/174_masks.zip,testing
test/test_x/175_image.png,test/test_y/175_masks.zip,testing
test/test_x/176_image.png,test/test_y/176_masks.zip,testing
test/test_x/177_image.png,test/test_y/177_masks.zip,testing
test/test_x/178_image.png,test/test_y/178_masks.zip,testing
test/test_x/179_image.png,test/test_y/179_masks.zip,testing
test/test_x/180_image.png,test/test_y/180_masks.zip,testing
test/test_x/181_image.png,test/test_y/181_masks.zip,testing
test/test_x/182_image.png,test/test_y/182_masks.zip,testing
test/test_x/183_image.png,test/test_y/183_masks.zip,testing
test/test_x/184_image.png,test/test_y/184_masks.zip,testing
test/test_x/185_image.png,test/test_y/185_masks.zip,testing
test/test_x/186_image.png,test/test_y/186_masks.zip,testing
test/test_x/187_image.png,test/test_y/187_masks.zip,testing
test/test_x/188_image.png,test/test_y/188_masks.zip,testing
test/test_x/189_image.png,test/test_y/189_masks.zip,testing
test/test_x/190_image.png,test/test_y/190_masks.zip,testing
test/test_x/191_image.png,test/test_y/191_masks.zip,testing
test/test_x/192_image.png,test/test_y/192_masks.zip,testing
test/test_x/193_image.png,test/test_y/193_masks.zip,testing
test/test_x/194_image.png,test/test_y/194_masks.zip,testing
test/test_x/195_image.png,test/test_y/195_masks.zip,testing
test/test_x/196_image.png,test/test_y/196_masks.zip,testing
test/test_x/197_image.png,test/test_y/197_masks.zip,testing
test/test_x/198_image.png,test/test_y/198_masks.zip,testing
test/test_x/199_image.png,test/test_y/199_masks.zip,testing
test/test_x/200_image.png,test/test_y/200_masks.zip,testing
test/test_x/201_image.png,test/test_y/201_masks.zip,testing
test/test_x/202_image.png,test/test_y/202_masks.zip,testing
test/test_x/203_image.png,test/test_y/203_masks.zip,testing
test/test_x/204_image.png,test/test_y/204_masks.zip,testing
test/test_x/205_image.png,test/test_y/205_masks.zip,testing
test/test_x/206_image.png,test/test_y/206_masks.zip,testing
test/test_x/207_image.png,test/test_y/207_masks.zip,testing
test/test_x/208_image.png,test/test_y/208_masks.zip,testing
test/test_x/209_image.png,test/test_y/209_masks.zip,testing
test/test_x/210_image.png,test/test_y/210_masks.zip,testing
test/test_x/211_image.png,test/test_y/211_masks.zip,testing
test/test_x/212_image.png,test/test_y/212_masks.zip,testing
test/test_x/213_image.png,test/test_y/213_masks.zip,testing
test/test_x/214_image.png,test/test_y/214_masks.zip,testing
test/test_x/215_image.png,test/test_y/215_masks.zip,testing
test/test_x/216_image.png,test/test_y/216_masks.zip,testing
test/test_x/217_image.png,test/test_y/217_masks.zip,testing
test/test_x/218_image.png,test/test_y/218_masks.zip,testing
test/test_x/219_image.png,test/test_y/219_masks.zip,testing
test/test_x/220_image.png,test/test_y/220_masks.zip,testing
test/test_x/221_image.png,test/test_y/221_masks.zip,testing
test/test_x/222_image.png,test/test_y/222_masks.zip,testing
test/test_x/223_image.png,test/test_y/223_masks.zip,testing
test/test_x/224_image.png,test/test_y/224_masks.zip,testing
test/test_x/225_image.png,test/test_y/225_masks.zip,testing
test/test_x/226_image.png,test/test_y/226_masks.zip,testing
test/test_x/227_image.png,test/test_y/227_masks.zip,testing
test/test_x/228_image.png,test/test_y/228_masks.zip,testing
test/test_x/229_image.png,test/test_y/229_masks.zip,testing
test/test_x/230_image.png,test/test_y/230_masks.zip,testing
test/test_x/231_image.png,test/test_y/231_masks.zip,testing
test/test_x/232_image.png,test/test_y/232_masks.zip,testing
test/test_x/233_image.png,test/test_y/233_masks.zip,testing
test/test_x/234_image.png,test/test_y/234_masks.zip,testing
test/test_x/235_image.png,test/test_y/235_masks.zip,testing
test/test_x/236_image.png,test/test_y/236_masks.zip,testing
test/test_x/237_image.png,test/test_y/237_masks.zip,testing
test/test_x/238_image.png,test/test_y/238_masks.zip,testing
test/test_x/239_image.png,test/test_y/239_masks.zip,testing
test/test_x/240_image.png,test/test_y/240_masks.zip,testing
test/test_x/241_image.png,test/test_y/241_masks.zip,testing
test/test_x/242_image.png,test/test_y/242_masks.zip,testing
test/test_x/243_image.png,test/test_y/243_masks.zip,testing
test/test_x/244_image.png,test/test_y/244_masks.zip,testing
test/test_x/245_image.png,test/test_y/245_masks.zip,testing
test/test_x/246_image.png,test/test_y/246_masks.zip,testing
test/test_x/247_image.png,test/test_y/247_masks.zip,testing
test/test_x/248_image.png,test/test_y/248_masks.zip,testing
test/test_x/249_image.png,test/test_y/249_masks.zip,testing
test/test_x/250_image.png,test/test_y/250_masks.zip,testing
test/test_x/251_image.png,test/test_y/251_masks.zip,testing
test/test_x/252_image.png,test/test_y/252_masks.zip,testing
test/test_x/253_image.png,test/test_y/253_masks.zip,testing
test/test_x/254_image.png,test/test_y/254_masks.zip,testing
test/test_x/255_image.png,test/test_y/255_masks.zip,testing
test/test_x/256_image.png,test/test_y/256_masks.zip,testing
test/test_x/257_image.png,test/test_y/257_masks.zip,testing
test/test_x/258_image.png,test/test_y/258_masks.zip,testing
test/test_x/259_image.png,test/test_y/259_masks.zip,testing
test/test_x/260_image.png,test/test_y/260_masks.zip,testing
test/test_x/261_image.png,test/test_y/261_masks.zip,testing
test/test_x/262_image.png,test/test_y/262_masks.zip,testing
test/test_x/263_image.png,test/test_y/263_masks.zip,testing
test/test_x/264_image.png,test/test_y/264_masks.zip,testing
test/test_x/265_image.png,test/test_y/265_masks.zip,testing
